id,name,name_norm,uic,latitude,longitude,country,time_zone,is_city,is_main_station,is_airport
11195,Bad Birnbach,Bad Birnbach,8026523,48.432854,13.074037,DE,Europe/Berlin,FALSE,FALSE,FALSE
13587,Thalfingen (b Ulm),Thalfingen (b Ulm),8029715,48.432899,10.047665,DE,Europe/Berlin,FALSE,FALSE,FALSE
324,St-Pierremont,St-Pierremont,8711714,48.433333,6.583333,FR,Europe/Paris,FALSE,FALSE,FALSE
13304,Ruhstorf,Ruhstorf,8026517,48.433645,13.334949,DE,Europe/Berlin,FALSE,FALSE,FALSE
5747,Alençon,Alencon,8744471,48.433884,0.098531,FR,Europe/Paris,FALSE,FALSE,FALSE
12562,Löcherberg,Locherberg,8014303,48.43467,8.172246,DE,Europe/Berlin,FALSE,FALSE,FALSE
10993,Anzenkirchen,Anzenkirchen,8026524,48.434742,13.021998,DE,Europe/Berlin,FALSE,FALSE,FALSE
3310,Boutigny,Boutigny,8768147,48.43495,2.37636,FR,Europe/Paris,FALSE,FALSE,FALSE
2427,Étampes,Etampes,8754513,48.436661,2.159468,FR,Europe/Paris,FALSE,FALSE,FALSE
4707,Lucé,Luce,8739401,48.4366725,1.4529681,FR,Europe/Paris,FALSE,FALSE,FALSE
12469,Langenbach (Oberbay),Langenbach (Oberbay),8020472,48.438095,11.852852,DE,Europe/Berlin,FALSE,FALSE,FALSE
1827,Amilly—Ouerray,Amilly-Ouerray,8739420,48.4381825,1.3892882,FR,Europe/Paris,FALSE,FALSE,FALSE
13745,Wasserburg (Günz),Wasserburg (Gunz),8002091,48.438248,10.269879,DE,Europe/Berlin,FALSE,FALSE,FALSE
6970,Horb,Horb,8029399,48.44169,8.689179,DE,Europe/Berlin,FALSE,FALSE,FALSE
9938,Héricy,Hericy,8768243,48.4424848,2.7605339,FR,Europe/Paris,FALSE,FALSE,FALSE
13076,Paindorf,Paindorf,8020449,48.442679,11.487261,DE,Europe/Berlin,FALSE,FALSE,FALSE
683,Joinville,Joinville,8717509,48.4442977,5.143503,FR,Europe/Paris,FALSE,FALSE,FALSE
11201,Bittelbronn,Bittelbronn,8029488,48.444405,8.589435,DE,Europe/Berlin,FALSE,FALSE,FALSE
2388,Auneau,Auneau,8754565,48.4458242,1.77998,FR,Europe/Paris,FALSE,FALSE,FALSE
11699,Eyach,Eyach,8029325,48.446284,8.783099,DE,Europe/Berlin,FALSE,FALSE,FALSE
4029,Chartres,Chartres,9904055,48.446853,1.489248,FR,Europe/Paris,TRUE,FALSE,FALSE
13688,Vilsbiburg,Vilsbiburg,8026371,48.447381,12.347501,DE,Europe/Berlin,FALSE,FALSE,FALSE
12975,Oberelchingen,Oberelchingen,8029714,48.447569,10.08302,DE,Europe/Berlin,FALSE,FALSE,FALSE
1489,Chartres Gare Routière,Chartres Gare Routiere,8713781,48.44764,1.48052,FR,Europe/Paris,FALSE,FALSE,FALSE
1828,St-Aubin—St-Luperce,St-Aubin-St-Luperce,8739421,48.4476422,1.3318387,FR,Europe/Paris,FALSE,FALSE,FALSE
8756,Magnières Lotissement,Magnieres Lotissement,8740563,48.448154,6.567483,FR,Europe/Paris,FALSE,FALSE,FALSE
4030,Chartres,Chartres,8739400,48.4482023,1.4813128,FR,Europe/Paris,FALSE,TRUE,FALSE
11050,Bad Griesbach (Schwarzwald),Bad Griesbach (Schwarzwald),8014305,48.448621,8.230568,DE,Europe/Berlin,FALSE,FALSE,FALSE
11176,Bieringen (b Horb),Bieringen (b Horb),8029324,48.449026,8.860918,DE,Europe/Berlin,FALSE,FALSE,FALSE
12752,Mühlen (b Horb),Muhlen (b Horb),8029326,48.449808,8.727204,DE,Europe/Berlin,FALSE,FALSE,FALSE
355,Martigny-les-Gerbonvaux,Martigny-les-Gerbonvaux,8711744,48.45,5.8,FR,Europe/Paris,FALSE,FALSE,FALSE
392,St-Mesmin,St-Mesmin,8711809,48.45,3.933333,FR,Europe/Paris,FALSE,FALSE,FALSE
429,Magnières,Magnieres,8714126,48.45,6.566667,FR,Europe/Paris,FALSE,FALSE,FALSE
433,Domremy-la-Pucelle,Domremy-la-Pucelle,8714136,48.45,5.683333,FR,Europe/Paris,FALSE,FALSE,FALSE
591,Greux,Greux,8714808,48.45,5.683333,FR,Europe/Paris,FALSE,FALSE,FALSE
2061,St-Julien,St-Julien,8747331,48.45,-2.816667,FR,Europe/Paris,FALSE,FALSE,FALSE
12519,Leipheim,Leipheim,8002085,48.450167,10.215368,DE,Europe/Berlin,FALSE,FALSE,FALSE
1829,Courville-sur-Eure,Courville-sur-Eure,8739422,48.451236,1.234836,FR,Europe/Paris,FALSE,FALSE,FALSE
440,Baccarat,Baccarat,8714141,48.452405,6.74383,FR,Europe/Paris,FALSE,FALSE,FALSE
11531,Dußlingen,Dusslingen,8029335,48.452406,9.058447,DE,Europe/Berlin,FALSE,FALSE,FALSE
13649,Unterelchingen,Unterelchingen,8029713,48.45299,10.100189,DE,Europe/Berlin,FALSE,FALSE,FALSE
5790,Landerneau,Landerneau,8747423,48.453572,-4.256528,FR,Europe/Paris,FALSE,FALSE,FALSE
13390,Schopfloch (b Freudenstadt),Schopfloch (b Freudenstadt),8029489,48.453709,8.547752,DE,Europe/Berlin,FALSE,FALSE,FALSE
7368,Sulzbach (Inn),Sulzbach (Inn),8026516,48.454689,13.382016,DE,Europe/Berlin,FALSE,FALSE,FALSE
12225,Ibach,Ibach,8014302,48.455111,8.162735,DE,Europe/Berlin,FALSE,FALSE,FALSE
12724,Mindelaltheim,Mindelaltheim,8002101,48.455974,10.407908,DE,Europe/Berlin,FALSE,FALSE,FALSE
